2.799913,1.464192,FOLLOW,FORWARD
2.807705,1.462380,FOLLOW,FORWARD
2.815497,1.460567,FOLLOW,FORWARD
2.823288,1.458754,FOLLOW,FORWARD
2.831080,1.456941,FOLLOW,FORWARD
2.838872,1.455129,FOLLOW,FORWARD
2.846664,1.453316,FOLLOW,FORWARD
2.854456,1.451503,FOLLOW,FORWARD
2.862248,1.449691,FOLLOW,FORWARD
2.870040,1.447878,FOLLOW,FORWARD
2.877832,1.446065,FOLLOW,FORWARD
2.885624,1.444253,FOLLOW,FORWARD
2.893416,1.442440,FOLLOW,FORWARD
2.901208,1.440627,FOLLOW,FORWARD
2.909000,1.438815,FOLLOW,FORWARD
2.916792,1.437002,FOLLOW,FORWARD
2.924584,1.435189,FOLLOW,FORWARD
2.932375,1.433377,FOLLOW,FORWARD
2.940167,1.431564,FOLLOW,FORWARD
2.947959,1.429751,FOLLOW,FORWARD
2.955751,1.427938,FOLLOW,FORWARD
2.963543,1.426126,FOLLOW,FORWARD
2.971335,1.424313,FOLLOW,FORWARD
2.979127,1.422500,FOLLOW,FORWARD
2.986919,1.420688,FOLLOW,FORWARD
2.994711,1.418875,FOLLOW,FORWARD
3.002503,1.417062,FOLLOW,FORWARD
3.010295,1.415250,FOLLOW,FORWARD
3.018087,1.413437,FOLLOW,FORWARD
3.025879,1.411624,FOLLOW,FORWARD
3.033671,1.409812,FOLLOW,FORWARD
3.041462,1.407999,FOLLOW,FORWARD
3.049254,1.406186,FOLLOW,FORWARD
3.057046,1.404373,FOLLOW,FORWARD
3.064838,1.402561,FOLLOW,FORWARD
3.072630,1.400748,FOLLOW,FORWARD
3.080422,1.398935,FOLLOW,FORWARD
3.088214,1.397123,FOLLOW,FORWARD
3.096006,1.395310,FOLLOW,FORWARD
3.103798,1.393497,FOLLOW,FORWARD
3.111590,1.391685,FOLLOW,FORWARD
3.119382,1.389872,FOLLOW,FORWARD
3.127174,1.388059,FOLLOW,FORWARD
3.134966,1.386247,FOLLOW,FORWARD
3.142758,1.384434,FOLLOW,FORWARD
3.150549,1.382621,FOLLOW,FORWARD
3.158341,1.380808,FOLLOW,FORWARD
3.166133,1.378996,FOLLOW,FORWARD
3.173925,1.377183,FOLLOW,FORWARD
3.181717,1.375370,FOLLOW,FORWARD
3.189509,1.373558,FOLLOW,FORWARD
3.197301,1.371745,FOLLOW,FORWARD
3.205093,1.369932,FOLLOW,FORWARD
3.212885,1.368120,FOLLOW,FORWARD
3.220677,1.366307,FOLLOW,FORWARD
3.228469,1.364494,FOLLOW,FORWARD
3.236261,1.362682,FOLLOW,FORWARD
3.244053,1.360869,FOLLOW,FORWARD
3.251845,1.359056,FOLLOW,FORWARD
3.259636,1.357244,FOLLOW,FORWARD
3.267428,1.355431,FOLLOW,FORWARD
3.275220,1.353618,FOLLOW,FORWARD
3.283012,1.351805,FOLLOW,FORWARD
3.290804,1.349993,FOLLOW,FORWARD
3.298596,1.348180,FOLLOW,FORWARD
3.306388,1.346367,FOLLOW,FORWARD
3.314180,1.344555,FOLLOW,FORWARD
3.321972,1.342742,FOLLOW,FORWARD
3.329764,1.340929,FOLLOW,FORWARD
3.337556,1.339117,FOLLOW,FORWARD
3.345348,1.337304,FOLLOW,FORWARD
3.353140,1.335491,FOLLOW,FORWARD
3.360932,1.333679,FOLLOW,FORWARD
3.368723,1.331866,FOLLOW,FORWARD
3.376515,1.330053,FOLLOW,FORWARD
3.384307,1.328240,FOLLOW,FORWARD
3.392099,1.326428,FOLLOW,FORWARD
3.399891,1.324615,FOLLOW,FORWARD
3.407683,1.322802,FOLLOW,FORWARD
3.415475,1.320990,FOLLOW,FORWARD
3.423267,1.319177,FOLLOW,FORWARD
3.431059,1.317364,FOLLOW,FORWARD
3.438851,1.315552,FOLLOW,FORWARD
3.446643,1.313739,FOLLOW,FORWARD
3.454435,1.311926,FOLLOW,FORWARD
3.462227,1.310114,FOLLOW,FORWARD
3.470019,1.308301,FOLLOW,FORWARD
3.477810,1.306488,FOLLOW,FORWARD
3.485602,1.304675,FOLLOW,FORWARD
3.493394,1.302863,FOLLOW,FORWARD
3.501186,1.301050,FOLLOW,FORWARD
3.508978,1.299237,FOLLOW,FORWARD
3.516770,1.297425,FOLLOW,FORWARD
3.524562,1.295612,FOLLOW,FORWARD
3.532354,1.293799,FOLLOW,FORWARD
3.540146,1.291987,FOLLOW,FORWARD
3.547938,1.290174,FOLLOW,FORWARD
3.555730,1.288361,FOLLOW,FORWARD
3.563522,1.286549,FOLLOW,FORWARD
3.571314,1.284736,FOLLOW,FORWARD
3.579106,1.282923,FOLLOW,FORWARD
3.586897,1.281110,FOLLOW,FORWARD
3.594689,1.279298,FOLLOW,FORWARD
3.602481,1.277485,FOLLOW,FORWARD
3.610273,1.275672,FOLLOW,FORWARD
3.618065,1.273860,FOLLOW,FORWARD
