1.074562,1.389575,TARGET_FOLLOW,FOLLOW
1.075409,1.379216,TARGET_FOLLOW,FOLLOW
1.075956,1.368912,OBSTACLE_AND_TARGET_DETECTED,AVOID
1.076216,1.361597,TARGET_FOLLOW,FOLLOW
1.081458,1.352864,TARGET_FOLLOW,FOLLOW
1.086166,1.343197,OBSTACLE_AND_TARGET_DETECTED,AVOID
1.088290,1.336142,TARGET_FOLLOW,FOLLOW
1.096678,1.327422,TARGET_FOLLOW,FOLLOW
1.104597,1.319493,TARGET_FOLLOW,FOLLOW
1.110220,1.309943,TARGET_FOLLOW,FOLLOW
1.113768,1.299215,TARGET_FOLLOW,FOLLOW
1.115878,1.288143,TARGET_FOLLOW,FOLLOW
1.117094,1.277051,TARGET_FOLLOW,FOLLOW
1.117774,1.266031,TARGET_FOLLOW,FOLLOW
1.118138,1.255355,TARGET_FOLLOW,FOLLOW
1.118337,1.244742,OBSTACLE_AND_TARGET_DETECTED,AVOID
1.118409,1.237390,TARGET_FOLLOW,FOLLOW
1.123597,1.228277,TARGET_FOLLOW,FOLLOW
1.128253,1.218217,OBSTACLE_AND_TARGET_DETECTED,AVOID
1.130280,1.211076,TARGET_FOLLOW,FOLLOW
1.137640,1.203129,TARGET_FOLLOW,FOLLOW
1.143883,1.193817,TARGET_FOLLOW,FOLLOW
1.147882,1.183250,TARGET_FOLLOW,FOLLOW
1.150226,1.172129,TARGET_FOLLOW,FOLLOW
1.151508,1.160863,TARGET_FOLLOW,FOLLOW
1.152138,1.149919,TARGET_FOLLOW,FOLLOW
1.152408,1.139030,TARGET_FOLLOW,FOLLOW
1.152461,1.128111,TARGET_FOLLOW,FOLLOW
1.152381,1.117182,OBSTACLE_AND_TARGET_DETECTED,AVOID
1.152283,1.109805,TARGET_FOLLOW,FOLLOW
1.157346,1.100449,TARGET_FOLLOW,FOLLOW
1.161867,1.090224,TARGET_FOLLOW,FOLLOW
1.164686,1.079466,TARGET_FOLLOW,FOLLOW
1.166313,1.068584,TARGET_FOLLOW,FOLLOW
1.167217,1.058005,TARGET_FOLLOW,FOLLOW
1.167736,1.047459,TARGET_FOLLOW,FOLLOW
1.168033,1.036879,TARGET_FOLLOW,FOLLOW
1.168195,1.026577,TARGET_FOLLOW,FOLLOW
1.168289,1.016299,OBSTACLE_AND_TARGET_DETECTED,AVOID
1.168323,1.008990,TARGET_FOLLOW,FOLLOW
1.173356,1.000050,TARGET_FOLLOW,FOLLOW
1.177895,0.990170,TARGET_FOLLOW,FOLLOW
1.180775,0.979640,OBSTACLE_AND_TARGET_DETECTED,AVOID
1.181958,0.972361,TARGET_FOLLOW,FOLLOW
1.188398,0.963838,TARGET_FOLLOW,FOLLOW
1.194064,0.954035,TARGET_FOLLOW,FOLLOW
1.197616,0.943574,TARGET_FOLLOW,FOLLOW
1.199754,0.932695,TARGET_FOLLOW,FOLLOW
1.201016,0.921598,TARGET_FOLLOW,FOLLOW
1.201717,0.910772,TARGET_FOLLOW,FOLLOW
1.202108,0.899941,TARGET_FOLLOW,FOLLOW
1.202303,0.888994,OBSTACLE_AND_TARGET_DETECTED,AVOID
1.202352,0.881600,TARGET_FOLLOW,FOLLOW
1.207720,0.872124,TARGET_FOLLOW,FOLLOW
1.212540,0.861646,OBSTACLE_AND_TARGET_DETECTED,AVOID
1.214572,0.854504,TARGET_FOLLOW,FOLLOW
1.222005,0.846484,TARGET_FOLLOW,FOLLOW
1.228180,0.837297,TARGET_FOLLOW,FOLLOW
1.232011,0.827285,TARGET_FOLLOW,FOLLOW
1.234235,0.817080,OBSTACLE_AND_TARGET_DETECTED,AVOID
1.235157,0.809809,TARGET_FOLLOW,FOLLOW
1.240916,0.801650,TARGET_FOLLOW,FOLLOW
1.246094,0.792197,TARGET_FOLLOW,FOLLOW
1.249334,0.782040,OBSTACLE_AND_TARGET_DETECTED,AVOID
1.250674,0.774776,TARGET_FOLLOW,FOLLOW
1.256876,0.766818,TARGET_FOLLOW,FOLLOW
1.262434,0.757401,TARGET_FOLLOW,FOLLOW
